student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,dropout
216683,,COMMERCE,Yes,Postgraduate,,22.0,4.57283181974198,95.7739278525264,73686,6.0,23.2,14,2,6,Yes,0
202202,,ME,,Secondary,-,21.0,6.66121834798745,68.6744428197861,51300,2.0,21.1,21,0,3,Yes,0
216037,Female,ME,N,Secondary,No,21.0,4.12619434545541,67.8772538833502,74766,4.0,11.4,59,1,3,Yes,0
201788,Male,ME,Yes,Secondary,N,26.0,5.51993766105719,86.7756104173326,30169,5.0,24.7,12,2,7,No,1
203335,Male,,No,Graduate,-,19.0,6.8930116697149,61.2443879255205,58251,6.0,9.1,55,2,5,N,0
206733,M,CIVIL,No,None,-,,5.44980383756734,66.0895869905106,40690,6.0,9.5,20,2,8,No,0
207087,Other,BIO,No,Secondary,N,23.0,6.62772198449854,65.8675982629988,54887,5.0,,8,1,6,No,1
202177,M,COMMERCE,N,Primary,,23.0,5.98607637804126,70.4291297155767,43709,5.0,19.9,49,0,5,,0
211368,Other,CS,N,Postgraduate,,23.0,5.20296861077861,68.5460089804116,18622,,7.2,41,1,7,Yes,0
213651,Other,ME,Y,None,-,17.0,4.27843918659425,85.2688889281975,37196,3.0,10.6,4,0,4,No,0
212495,Other,ECE,N,,Yes,26.0,6.51495304843819,57.7419520725821,60778,5.0,11.9,30,4,7,Yes,1
212736,M,CIVIL,Nope,Postgraduate,,23.0,5.62243684427174,68.6906739262167,-16029,6.0,14.4,15,0,5,Yes,1
205525,,BIO,No,,-,23.0,4.37398846960125,60.5440538575398,76612,2.0,9.3,4,2,4,No,1
208358,Male,ARTS,Y,,-,17.0,6.21009808713508,90.8273036943873,40583,3.0,8.0,34,2,5,Yes,1
200385,,ME,,,Y,21.0,5.37626338582484,72.3900207090154,55452,3.0,14.8,38,2,0,No,0
205458,Other,BIO,,Secondary,,17.0,4.56709754469824,72.0823235610389,55493,3.0,7.9,32,4,4,Yes,0
204391,Female,ECE,No,None,N,22.0,6.92003942864572,100.0,-10411,2.0,8.1,17,4,0,Yes,0
219724,,,N,Primary,N,,6.68402618100199,85.4884283330991,15918,2.0,7.6,34,3,6,N,0
213150,Male,,N,Secondary,Y,23.0,6.79001212359593,86.9668970718614,54987,5.0,6.2,20,0,5,,0
214739,Other,BIO,No,Graduate,No,25.0,4.17100572751252,83.8996641585996,59444,4.0,12.8,14,4,8,No,1
204322,Male,ECE,Y,Postgraduate,No,26.0,4.94565239238604,65.5549043292991,25849,2.0,20.1,26,4,2,Y,0
207403,FEMALE,CS,N,Postgraduate,Yes,18.0,4.76124728642588,72.3808307709913,36723,2.0,18.5,26,0,2,Y,1
217266,Other,COMMERCE,N,,Y,,5.4661046376256,88.867460821493,24968,2.0,7.3,1,4,2,Yes,0
217919,Other,CS,Nope,Primary,Y,24.0,6.02895653472795,90.2378571630344,56945,3.0,10.4,10,4,9,Yes,0
218366,,ARTS,No,Graduate,-,24.0,6.39083925708102,75.9949642824159,58359,2.0,21.6,7,1,6,N,0
206298,M,CIVIL,Yes,Postgraduate,No,20.0,4.33533036507545,65.7013468978499,21265,6.0,21.0,24,4,2,,0
212774,Male,ME,,,No,16.0,4.70062305244678,59.3030133386038,15097,6.0,22.2,0,1,2,Y,1
204774,M,COMMERCE,Yes,Secondary,Y,26.0,6.98275319382307,65.5118170915018,24225,6.0,17.1,23,2,4,No,0
205857,FEMALE,ME,N,,No,24.0,6.67791152911868,57.4047238753367,29648,5.0,14.4,16,0,9,No,1
218539,FEMALE,ME,Y,,-,19.0,6.53704911866712,84.9270729534583,15266,4.0,6.5,38,0,9,No,0
204772,Other,ME,Nope,Graduate,No,17.0,4.70442855352269,,66227,4.0,15.2,2,4,9,Yes,0
210752,M,ME,N,,No,,5.58293340300042,,32594,3.0,19.4,3,0,7,Yes,0
203886,M,COMMERCE,No,None,Y,,6.96024358928017,81.4941121832984,63003,6.0,24.3,23,3,0,No,0
202937,Other,ME,Y,Postgraduate,,23.0,5.95261308224936,88.1305238409186,87763,3.0,14.6,6,3,4,No,0
213855,FEMALE,BIO,Y,,No,23.0,5.50999524062727,80.1584679809008,52895,5.0,20.7,57,1,0,No,1
217874,Male,COMMERCE,Nope,None,N,18.0,,78.5501110480385,27113,6.0,19.8,27,2,3,,0
214518,Female,ARTS,Y,Graduate,Yes,17.0,4.58676425662291,73.0107477446959,37099,5.0,13.5,42,0,3,No,0
207486,,ARTS,,Graduate,-,24.0,6.73125963768127,80.6484358781747,56022,4.0,7.9,9,4,3,No,1
215653,M,ARTS,Y,Secondary,No,22.0,4.66075438093911,81.7134004330657,81930,6.0,8.7,34,2,6,No,1
208603,Other,COMMERCE,,Graduate,,18.0,4.72140404565863,87.3913276284861,12981,2.0,14.6,7,2,1,No,0
215210,Male,,Y,,-,21.0,4.25003189601757,68.5990328927484,55649,4.0,8.5,47,4,5,No,0
213188,M,,Y,Postgraduate,N,26.0,,66.2436445586571,29489,4.0,12.0,38,0,5,,1
219085,,,No,Graduate,Y,26.0,4.91601410339635,90.4568470514176,32983,4.0,24.9,47,4,2,Yes,1
216833,Other,,Yes,Postgraduate,No,19.0,6.5231250052231,45.2623048806322,65884,4.0,18.0,17,2,3,Y,1
217953,,,,,No,19.0,5.31560493377695,77.7858564559818,33356,4.0,19.9,0,2,6,,0
202753,,,N,Postgraduate,-,19.0,6.27532953788672,78.4762254266821,40505,5.0,17.1,32,1,4,,0
209326,FEMALE,COMMERCE,Yes,None,Y,24.0,4.77203593522537,63.4900728289647,37161,5.0,12.1,45,2,3,Yes,1
206846,Female,,Nope,Secondary,,25.0,6.92564078846256,84.8116774304977,80021,5.0,8.7,6,1,0,Yes,0
219599,M,CIVIL,Nope,Graduate,N,22.0,5.83209754121434,60.8707716792648,43952,3.0,9.9,33,1,2,Yes,0
207212,,,No,Primary,No,21.0,6.25125157843329,55.5212087908078,73308,5.0,17.9,37,3,8,No,1
214644,Male,BIO,No,Secondary,N,25.0,4.39757648710021,100.0,35457,4.0,13.6,20,2,6,No,0
203975,FEMALE,,Yes,Postgraduate,N,19.0,6.52678698465781,68.8456088829071,28805,,6.7,48,3,9,No,0
207745,Male,ME,N,Graduate,,25.0,5.12890204520954,95.1440540343635,48409,3.0,8.3,1,3,7,No,0
219329,Male,CIVIL,Nope,Secondary,,,5.12466758529728,92.3724529636295,69509,3.0,7.6,51,1,0,No,0
203710,M,CIVIL,N,None,No,19.0,6.98522396424705,66.8518777612784,29673,6.0,15.4,35,0,4,No,0
218095,,ARTS,,,No,26.0,5.07338786742439,78.3398117116922,41814,2.0,20.6,44,2,7,,0
210633,FEMALE,,No,Postgraduate,Y,19.0,,74.2755391591718,45026,5.0,9.9,45,3,0,No,0
217487,Other,,No,None,Y,25.0,5.47449668875447,75.7242714503027,35526,5.0,21.4,32,2,3,No,1
216382,M,,No,Secondary,-,21.0,5.86552124862531,,74683,3.0,24.7,43,0,0,No,1
209995,,,Yes,,Y,17.0,5.52290309991441,54.1743229981563,70616,3.0,13.9,8,4,4,No,1
219604,Male,BIO,Yes,,,20.0,6.85315704651945,97.4946443327793,31795,3.0,6.3,22,1,5,No,0
210560,M,CS,No,None,Y,18.0,4.90389134469848,61.9851205710063,62372,5.0,7.0,56,3,2,,1
215959,,BIO,N,Secondary,N,24.0,4.93549145107768,,48011,2.0,14.9,38,4,1,,0
210928,M,BIO,N,Postgraduate,N,,4.84911352806434,80.2324853760348,10043,3.0,5.1,23,0,9,No,0
218772,M,CIVIL,N,,-,21.0,5.53525224563478,70.1577202476515,65765,4.0,15.8,30,2,4,N,1
215730,FEMALE,ECE,N,,Yes,19.0,6.28795387256493,71.8378553618237,49705,2.0,5.8,21,2,2,No,0
212066,FEMALE,BIO,N,Graduate,No,18.0,6.91392047598962,68.0994975187984,42329,4.0,,24,2,1,No,0
219450,Other,CIVIL,N,Graduate,N,21.0,6.64395979437708,95.4550516970196,33242,5.0,21.8,32,0,1,No,0
217585,,ARTS,Nope,None,Yes,20.0,6.73029759242593,75.2031238259482,50044,5.0,,48,1,0,No,1
205426,FEMALE,,No,None,,,4.91517534177397,86.2307254851329,73396,2.0,15.4,51,1,5,Yes,0
209639,Other,CIVIL,Y,,-,18.0,5.71333907974123,67.6964075640679,37543,2.0,6.7,22,2,3,No,0
206660,,BIO,Y,Postgraduate,Y,23.0,5.03423215243905,72.5652313519232,54051,5.0,23.3,31,4,7,No,0
206534,,BIO,N,Graduate,,20.0,5.77631422700076,85.3740244325284,49976,4.0,13.0,43,3,1,No,0
206547,Other,CIVIL,Yes,Graduate,Yes,22.0,4.86894802871215,73.019281380605,55644,2.0,8.8,44,0,9,No,0
215672,FEMALE,ARTS,Y,Primary,No,26.0,5.92018576999163,94.6824866779208,37320,4.0,22.4,11,0,2,No,0
215427,,ECE,,,No,25.0,5.27914689130087,63.6190656773438,74581,,19.4,31,1,0,Yes,0
209728,Other,CS,,,N,24.0,4.74453134240713,60.2751441772014,52296,5.0,18.7,27,3,7,No,0
203142,,,Yes,Primary,Yes,23.0,5.33447545467405,64.2448121363494,32094,6.0,6.3,37,2,2,No,1
201527,,ME,No,None,,22.0,4.20387762814591,96.0820456680184,67171,4.0,24.2,34,4,9,N,0
210127,,,,,N,26.0,6.07443145832127,74.4429604338407,31930,2.0,12.7,48,0,6,Yes,0
208865,,COMMERCE,Nope,,-,18.0,4.11817799148048,77.3777419692359,80570,3.0,,48,1,4,No,0
218798,Female,CIVIL,No,None,No,16.0,6.70678330368515,72.2767892639525,37060,5.0,7.4,12,1,7,,1
206867,Other,,N,,-,,5.08726702716783,91.5682096848721,59274,4.0,17.2,54,4,0,Yes,0
204954,,ME,N,Graduate,Yes,17.0,5.53498011851993,71.6204105542926,36284,6.0,20.9,51,0,3,No,1
216235,Female,BIO,Y,,No,22.0,5.31462337845681,71.2441147395529,41898,2.0,9.3,33,4,4,No,0
208642,Female,ME,,,Y,20.0,4.45729089881092,85.9606472888155,37812,6.0,21.2,32,1,9,No,0
219533,Other,ARTS,Y,Graduate,No,16.0,6.82524302546825,68.9031853270369,20117,3.0,12.3,53,1,7,No,0
219962,Female,,Yes,Primary,N,24.0,6.09724339233137,86.5029873361149,80353,5.0,22.7,39,1,7,No,0
219938,Female,ECE,Nope,Postgraduate,No,22.0,4.24731458080177,100.0,58613,5.0,21.8,47,1,8,,0
200385,,ME,,,Y,21.0,5.37626338582484,72.3900207090154,55452,3.0,14.8,38,2,0,No,0
213291,,,,,No,23.0,4.55674491675048,100.0,46916,5.0,24.4,19,1,2,No,0
208485,FEMALE,COMMERCE,Y,,-,19.0,6.30887808659905,55.512048656632,64750,,8.1,42,0,9,Y,0
215005,Male,,No,,Yes,21.0,4.30705396740919,67.0069515453072,34925,3.0,13.5,30,2,9,No,0
207913,M,CIVIL,Nope,Postgraduate,Yes,24.0,4.62064095843901,80.7713801375035,46145,4.0,16.1,2,0,9,Yes,0
205915,FEMALE,ME,N,Secondary,Yes,19.0,4.69544135208019,62.3438740234585,40448,2.0,13.4,21,4,6,No,0
219169,Male,BIO,Nope,Primary,,25.0,5.11409728624057,78.1654249518828,42663,4.0,23.5,10,2,3,No,1
205554,Other,ECE,Nope,,Yes,19.0,4.63941928537787,78.8012947950481,80212,5.0,22.2,43,1,1,No,1
208477,M,,N,Primary,Yes,19.0,5.58152390852574,56.7874821871777,65031,3.0,9.8,29,3,4,No,0
210069,M,COMMERCE,,,No,18.0,6.07554282501303,61.0646176808415,43545,6.0,13.3,5,2,4,,0
213719,,CIVIL,No,Secondary,No,24.0,4.60592974402304,79.7863276745799,23901,5.0,11.5,34,3,0,,1
204874,FEMALE,COMMERCE,Yes,,No,19.0,4.44317578179468,71.326848716642,38104,4.0,16.6,25,4,8,N,0
212326,Female,CIVIL,,Postgraduate,Yes,16.0,6.7890752604588,58.3055149794941,47627,6.0,21.6,9,4,0,No,1
200290,Male,BIO,No,None,N,22.0,4.66575188317762,53.3365574549841,25902,6.0,20.2,36,0,6,Yes,1
218041,,CIVIL,N,Secondary,Y,23.0,4.11907560933576,83.6240172439091,43761,6.0,8.4,17,0,0,No,0
207199,Female,CS,No,,-,19.0,6.70120693233611,78.5614579892331,8039,2.0,7.2,17,1,8,N,0
215709,FEMALE,ECE,Nope,Secondary,N,22.0,6.31123598047381,46.1241469636702,70722,6.0,13.4,52,4,1,Yes,1
214971,Male,CIVIL,No,None,No,18.0,,92.6863263415508,68018,4.0,9.0,1,0,8,N,1
218883,Male,CIVIL,Nope,,,16.0,6.19610094516806,69.0099372816112,67378,2.0,18.7,59,3,7,No,0
206896,Female,CS,N,,No,20.0,,78.058499678074,43907,6.0,23.2,45,4,3,Yes,1
210034,,CIVIL,Y,Primary,N,26.0,6.94632593031402,78.4344599261832,62987,5.0,24.4,43,0,3,Yes,0
204024,Female,ECE,,None,Yes,18.0,4.99077881150201,83.5138230325553,13536,5.0,19.4,36,0,6,No,0
218821,Other,,Yes,Postgraduate,N,16.0,5.28209939093127,63.0202070671212,74735,3.0,14.6,10,1,9,,0
215262,Female,CIVIL,Nope,,,21.0,4.45927631256447,,71943,3.0,17.0,28,1,0,Yes,0
200812,Other,CIVIL,,Secondary,-,20.0,6.17093812434704,51.0841896697209,44489,4.0,8.1,24,4,1,No,1
209514,Female,,No,Secondary,-,25.0,4.69855538289715,77.3819541443167,26003,5.0,15.0,14,4,6,Yes,1
204688,,CIVIL,No,Postgraduate,No,20.0,4.36078963464896,75.8982851435354,45578,4.0,14.9,51,1,6,No,1
202405,Male,BIO,N,Graduate,Yes,,5.46797902765468,68.474692473918,493140,6.0,17.8,18,3,9,Yes,1
207061,FEMALE,BIO,Yes,Secondary,N,21.0,,83.6295762164907,60363,3.0,9.0,58,1,0,No,0
214674,Female,CS,,,-,20.0,5.54409561587975,81.4745586337923,30462,6.0,20.1,26,0,2,Y,1
212692,Female,ECE,,Primary,Y,17.0,5.16794830524096,61.3178769838102,64625,6.0,19.6,28,1,4,No,0
209626,Female,BIO,Nope,Graduate,Y,23.0,5.19342295128814,98.4474972686455,50550,3.0,20.7,22,2,2,No,0
210101,Female,BIO,No,Postgraduate,Y,23.0,6.81383867699571,64.9744292831098,91812,,7.2,22,4,7,Yes,1
215296,FEMALE,ME,No,Primary,-,26.0,4.43792875766071,83.8312450840663,34598,3.0,6.4,6,3,1,No,0
214263,FEMALE,,,,No,23.0,4.78619160827546,70.7083297056966,60043,3.0,17.7,24,1,6,Y,1
202485,Female,COMMERCE,No,Graduate,No,26.0,6.7126435998335,82.302101592492,60068,5.0,8.8,19,4,3,No,0
213196,M,BIO,No,,No,21.0,6.42768301208173,80.8813577822654,45903,2.0,9.1,24,0,5,No,0
213152,M,ARTS,,,,19.0,6.19647052722854,77.7479571948132,44101,6.0,19.6,33,1,4,No,0
215825,,CS,N,Postgraduate,N,19.0,5.9465123065862,64.6779955252452,38899,6.0,13.7,58,4,5,Yes,0
213960,Other,CIVIL,,Postgraduate,Y,20.0,5.13288411397767,,42297,,19.9,8,1,9,No,1
216781,Female,,Nope,Secondary,Yes,16.0,5.73489902950862,68.8125253002716,85728,3.0,23.4,11,4,2,N,0
207442,Male,ECE,No,Secondary,No,20.0,5.3691587657795,70.7083192084069,59167,4.0,9.3,1,3,1,Yes,0
209805,,ARTS,Y,,Yes,16.0,5.038144792418,64.8888681474586,43722,2.0,10.3,31,2,1,Yes,0
206137,Other,ME,Nope,Graduate,N,17.0,6.80577368169154,75.6732001952368,99944,2.0,16.6,9,0,9,,1
204903,Male,COMMERCE,N,,-,20.0,5.5373439986544,81.5393578338417,50273,4.0,13.3,46,1,8,Yes,0
208931,Male,CIVIL,No,,,25.0,6.65633684587672,92.3182210093349,77895,2.0,9.4,21,2,8,No,1
201201,Male,CIVIL,Y,Graduate,,22.0,6.62169269657743,75.8390353917023,65008,6.0,6.5,21,1,6,Y,1
217335,Male,BIO,No,None,Y,21.0,4.50909185779817,69.1533303196719,52643,4.0,21.7,52,4,0,,1
206178,FEMALE,CIVIL,Nope,,N,22.0,4.68336164235492,56.8032621614669,66760,6.0,14.9,27,3,2,No,1
216657,Female,CS,Nope,,,23.0,4.43275984797423,55.1801759341303,45662,4.0,20.2,12,2,7,No,1
209675,Male,ME,Nope,,,22.0,4.43916524162227,75.0897970364763,57266,5.0,8.2,23,1,2,No,1
211887,Male,BIO,N,Secondary,Yes,20.0,4.30081208137797,72.8830531964406,49938,6.0,15.2,48,1,8,No,0
219427,FEMALE,CS,Yes,None,Y,23.0,4.90581518220861,65.0261087431732,62027,5.0,11.4,5,2,1,No,1
202898,FEMALE,ME,Y,Primary,-,17.0,6.12529529039375,84.9710372688271,19140,4.0,19.7,53,2,6,No,0
213280,,ARTS,Y,Postgraduate,Yes,21.0,,93.1201424286184,79164,4.0,24.6,11,3,3,No,0
217723,M,ARTS,N,None,-,,4.04215258132371,82.0365218511434,61052,3.0,10.4,35,1,5,No,0
217141,FEMALE,CS,Y,Secondary,N,,4.28248456339126,75.3734669410745,61378,6.0,19.1,34,2,2,,1
206381,FEMALE,ME,Nope,Primary,N,22.0,6.13819823582326,65.8227271016703,29005,4.0,15.2,28,0,2,Yes,0
217190,Male,,Nope,,N,20.0,6.76077962512501,73.1154759107313,74342,4.0,13.6,8,1,5,No,0
219200,FEMALE,,,Graduate,-,25.0,,54.0930745027658,49573,6.0,13.2,24,1,6,Yes,1
216655,Male,CS,,,-,18.0,4.70930845739391,70.1996354083799,46896,4.0,10.0,32,3,6,,0
203572,Female,,Y,None,,20.0,4.31983599181791,55.9173669507787,59794,3.0,12.9,40,4,5,Yes,0
215437,Male,BIO,Yes,None,Yes,26.0,6.69984044971527,82.4960837916039,73618,5.0,6.1,21,3,3,No,0
213112,,CIVIL,,,N,25.0,6.59484358741163,100.0,46152,6.0,12.8,1,3,4,Yes,0
204639,,CS,Yes,Graduate,Y,20.0,6.02183018693804,70.9281863021664,61723,6.0,14.8,54,1,7,N,0
208703,M,ECE,No,None,Y,25.0,4.35367309558899,93.9463731544016,31541,4.0,12.1,47,2,3,Yes,0
217012,Other,CIVIL,Yes,,Yes,17.0,4.54343460484073,83.7455554382332,55578,3.0,10.7,22,2,2,Y,0
204191,Other,ARTS,Nope,Secondary,,25.0,4.88779605287934,84.2868792141389,55820,6.0,19.6,59,2,9,,0
200803,Male,ME,Y,Primary,N,19.0,5.34536423530111,43.6684680974755,90698,6.0,24.4,47,0,5,Yes,1
204909,Male,CS,N,None,Yes,24.0,5.46198705628195,75.3028465237979,34433,3.0,6.5,22,2,4,Yes,0
207101,Male,CIVIL,N,Secondary,Yes,25.0,6.5486498315554,81.6784113623018,59338,3.0,17.3,11,2,2,No,0
203533,Female,,Y,Primary,No,25.0,5.92554572256513,61.5979664067981,50361,5.0,5.7,37,2,4,No,1
214991,Female,ARTS,Yes,,Yes,20.0,6.56759914286221,53.6582759310167,48270,5.0,8.4,38,2,6,No,1
210052,M,ARTS,,Graduate,Y,20.0,4.05976561745711,95.042129590959,32527,2.0,12.3,16,4,0,No,0
202361,M,COMMERCE,,Secondary,,21.0,4.60943649713858,56.1561985852223,69618,2.0,17.9,24,1,0,N,0
201297,,CS,,,Yes,17.0,6.86596879414578,72.5362432535046,35072,,12.3,5,2,2,No,0
205683,Female,CS,,,Y,17.0,6.16109659252108,86.2258392929767,59189,,11.4,54,1,0,No,0
202140,M,BIO,,None,-,21.0,4.0313469283943,88.4524892521211,69402,6.0,22.0,12,0,8,No,0
217753,FEMALE,,N,Graduate,No,22.0,4.39817000308176,67.456710712101,87154,6.0,20.7,3,2,2,Y,1
212084,Male,CIVIL,Y,Graduate,,,5.67222846099919,62.8864488351422,30628,2.0,15.4,42,3,4,No,0
207662,FEMALE,ARTS,No,Primary,-,23.0,4.19700548238588,78.3876019751945,27300,4.0,17.9,24,2,6,N,1
209983,Female,,Y,Graduate,Yes,24.0,4.69504910604663,53.2274857542289,74535,3.0,5.2,17,3,9,Yes,0
216706,,,No,Primary,-,,4.85281959962378,65.0457827574875,44886,3.0,8.4,38,4,9,No,1
212376,FEMALE,CS,No,,,23.0,4.25736463487096,72.6113902429263,49936,5.0,18.7,3,1,9,Yes,0
205770,Other,,No,Secondary,N,19.0,6.00209420736402,,58786,6.0,23.3,38,1,5,No,0
211765,,,Yes,None,,24.0,5.17763059357235,88.2362314688122,58806,2.0,21.1,4,2,9,Yes,0
219480,Female,ME,Y,,,26.0,5.59741506765264,52.0470660654618,28930,5.0,20.7,42,4,4,Yes,1
205871,,BIO,No,Secondary,No,21.0,4.00540709146387,90.8523033243806,73310,2.0,14.8,40,4,1,No,0
211498,Female,BIO,N,,N,17.0,6.41963168624875,63.30598259442,26667,2.0,21.7,10,4,0,,0
211118,Female,,Nope,Primary,No,24.0,5.36032322650479,78.9747501946744,45446,5.0,17.3,40,2,8,No,0
202386,FEMALE,CIVIL,No,,-,23.0,4.76421076548871,82.6983186365036,-2604,5.0,13.3,18,2,6,No,0
212619,Other,ARTS,Nope,Graduate,N,22.0,,77.8142469895468,44612,5.0,22.1,5,1,6,Yes,0
213681,Other,COMMERCE,Yes,,N,19.0,4.79827951095934,81.6685017435557,43943,6.0,17.4,22,1,7,No,1
202915,FEMALE,CIVIL,Yes,,Y,20.0,4.49971111665381,68.4357445471073,42940,5.0,20.8,19,1,6,Yes,1
216327,Female,CIVIL,No,Secondary,,23.0,5.08555964624645,71.3612385284769,37537,2.0,13.1,8,4,4,No,0
214176,,,Yes,,N,17.0,4.3863062468555,67.3517801819252,56073,,21.4,41,0,6,,1
200474,,ECE,N,Secondary,Y,21.0,4.99602132087646,87.8894482975031,77275,4.0,18.6,41,2,1,Yes,0
217829,FEMALE,ECE,,Postgraduate,,26.0,4.13033159059449,80.7212800063676,78802,,23.7,56,3,7,,0
218636,M,CS,No,,No,17.0,4.63718490670431,84.5466689642509,58614,4.0,10.6,4,1,6,No,1
203578,FEMALE,CS,Nope,,Y,19.0,5.40920922293412,71.5672018430591,37773,3.0,18.9,24,1,3,No,0
219675,M,ME,Nope,,-,21.0,6.10397315999749,,18049,6.0,5.7,16,0,2,Yes,1
213115,FEMALE,COMMERCE,Y,Graduate,,26.0,6.44172946391982,77.1726434973793,75430,3.0,13.8,48,3,5,No,0
214186,M,CS,N,Secondary,,26.0,5.8104545010264,80.4899039925581,40359,3.0,23.4,27,3,7,Yes,0
205589,Female,CS,N,,,16.0,6.90611563979116,51.1504858659849,59061,3.0,23.9,4,2,1,Yes,0
214521,Male,ME,Yes,Graduate,-,23.0,4.47492148734152,68.0640972721673,76744,4.0,24.2,27,1,0,Yes,0
205042,,BIO,Y,,Y,21.0,4.40162289218323,97.2179257558272,58221,6.0,10.6,0,4,8,,1
215625,M,ME,,Secondary,N,19.0,6.5390790617884,75.9207614959461,46165,5.0,8.9,48,1,4,No,0
201572,,BIO,No,Graduate,-,26.0,6.94288683860753,52.0015948199696,39656,5.0,,41,0,6,Yes,0
206808,,ARTS,Y,,N,,6.04435952925949,88.7860542001301,30687,4.0,14.1,9,0,9,Y,1
206532,,BIO,Nope,,Yes,20.0,,59.6450825484454,57380,5.0,21.1,33,1,3,No,1
218542,FEMALE,CIVIL,No,Graduate,,24.0,5.80139636603287,77.955635237927,34690,6.0,,11,3,9,,1
201433,Male,,No,Primary,No,23.0,6.52024623869857,81.6569702792974,55548,4.0,24.1,44,3,6,Y,0
202864,,BIO,N,Secondary,,25.0,5.74917374082161,91.4988531347545,48767,6.0,12.7,18,4,4,No,0
200538,,ARTS,Y,Secondary,,17.0,5.75158113340946,77.0409044941898,38481,2.0,16.5,29,0,5,N,0
219037,Male,ECE,N,Postgraduate,No,23.0,4.91166650543828,70.9365985930964,45881,6.0,5.6,16,3,9,No,1
217584,FEMALE,ME,N,,No,22.0,6.27213017900856,68.3541224160824,79768,4.0,23.6,24,3,4,No,0
205564,Female,ME,Yes,None,Yes,17.0,6.18503054894665,61.8017362555088,38958,4.0,,40,0,5,No,0
209282,M,BIO,No,Primary,-,19.0,4.27277122178973,64.5161215791158,52137,4.0,16.5,7,4,0,No,1
213442,FEMALE,ECE,No,Primary,Y,24.0,6.42994085987664,69.2288678932766,38095,5.0,16.6,29,0,0,,0
214935,Other,ECE,,None,N,16.0,5.06785922521138,90.9088325556627,32349,6.0,6.3,52,3,7,Y,0
201272,Other,CS,,Graduate,,19.0,5.0714323358386,91.8263088821618,64375,5.0,13.3,35,3,0,No,0
202687,Male,,N,Secondary,Yes,,5.78520757981989,79.3606879909751,42639,5.0,5.7,11,4,6,No,1
216431,,,Yes,None,,,6.33772686587093,64.3494048830627,47490,4.0,13.0,39,2,4,Yes,0
